%%% Data to be read on the pyvrft package %%%
%%% First experiment on the pilot plant %%%
%%% Organized as follows %%%
y1,y2,u1,u2
21.402,25.943,75,20
21.36,25.943,75,20
21.388,25.943,75,20
21.389,25.962,75,20
21.403,25.975,75,20
21.403,25.975,75,20
21.371,25.975,75,20
21.344,25.969,75,20
21.39,25.962,75,20
21.379,25.995,75,20
21.379,25.995,75,20
21.398,25.963,75,20
21.361,25.975,75,20
21.39,25.969,75,20
21.385,25.943,75,20
21.385,25.943,75,20
21.385,25.949,75,20
21.371,25.943,75,20
21.319,25.943,75,20
21.339,25.942,75,20
21.339,25.942,75,20
21.392,25.956,75,20
21.345,25.943,75,20
21.39,25.962,75,20
21.415,25.989,75,20
21.415,25.989,75,20
21.377,25.995,75,20
21.339,25.995,75,20
21.35,25.989,75,20
21.358,25.989,75,20
21.358,25.989,75,20
21.376,25.989,75,20
21.332,25.984,75,20
21.39,26.002,75,20
21.39,25.996,75,20
21.39,25.996,75,20
21.341,26.016,75,20
21.341,26.029,75,20
21.319,26.029,75,20
21.423,26.008,75,20
21.423,26.008,75,20
21.392,25.995,75,20
21.378,25.989,75,20
21.421,25.976,75,20
21.327,25.982,75,20
21.327,25.982,75,20
21.391,25.975,75,20
21.388,25.982,75,20
21.39,25.975,75,20
21.428,25.995,75,20
21.428,25.995,75,20
21.359,25.962,75,20
21.359,25.989,75,20
21.402,25.984,75,20
21.345,25.997,75,20
21.345,25.997,75,20
21.364,25.997,75,20
21.32,26.015,75,20
21.371,26.029,75,20
21.422,26.049,75,20
21.422,26.049,75,20
21.398,26.062,75,20
21.417,26.042,75,20
21.428,26.055,75,20
21.427,26.062,75,20
21.427,26.062,75,20
21.448,26.056,75,20
21.371,26.015,75,20
21.402,26.029,75,20
21.441,26.042,75,20
21.441,26.042,75,20
21.403,26.049,75,20
21.384,26.042,75,20
21.422,26.042,75,20
21.371,26.062,75,20
21.371,26.062,75,20
21.433,26.075,75,20
21.412,26.082,75,20
21.458,26.069,75,20
21.461,26.042,75,20
21.461,26.042,75,20
21.366,26.055,75,20
21.352,26.075,75,20
21.357,26.056,75,20
21.416,26.042,75,20
21.416,26.042,75,20
21.41,26.035,75,20
21.43,26.029,75,20
21.427,26.029,75,20
21.425,26.004,75,20
21.425,26.004,75,20
21.37,26.002,75,20
21.401,26.002,75,20
21.436,26.002,75,20
21.385,26.022,75,20
21.385,26.022,75,20
21.371,25.982,75,20
21.422,25.989,75,20
21.358,25.975,75,20
21.467,25.982,75,20
21.467,25.982,75,20
21.384,25.982,75,20
21.446,25.975,75,20
21.416,25.963,75,20
21.423,25.975,75,20
21.423,25.975,75,20
21.437,25.956,75,20
21.433,25.956,75,20
21.401,25.922,75,20
21.388,25.943,75,20
21.388,25.943,75,20
21.39,25.922,75,20
21.359,25.929,75,20
21.404,25.923,75,20
21.41,25.929,75,20
21.41,25.929,75,20
21.397,25.889,75,20
21.417,25.896,75,20
21.448,25.909,75,20
21.391,25.876,75,20
21.391,25.876,75,20
21.409,25.903,75,20
21.442,25.883,75,20
21.358,25.876,75,20
21.363,25.862,75,20
21.363,25.862,75,20
21.384,25.883,75,20
21.384,25.896,75,20
21.358,25.91,75,20
21.384,25.889,75,20
21.384,25.889,75,20
21.378,25.916,75,20
21.39,25.903,75,20
21.366,25.923,75,20
21.344,25.923,75,20
21.344,25.923,75,20
21.34,25.936,75,20
21.386,25.902,75,20
21.32,25.903,75,20
21.358,25.929,75,20
21.358,25.929,75,20
21.402,25.942,75,20
21.321,25.928,75,20
21.327,25.962,75,20
21.439,25.949,75,20
21.439,25.949,75,20
21.417,25.942,75,20
21.37,25.975,75,20
21.364,25.975,75,20
21.44,25.975,75,20
21.44,25.975,75,20
21.419,26.016,75,20
21.305,26.015,75,20
21.322,25.996,75,20
21.363,25.989,75,20
21.363,25.989,75,20
21.314,26.015,75,20
21.375,26.055,75,20
21.397,26.029,75,20
21.385,26.035,75,20
21.385,26.035,75,20
21.361,26.042,75,20
21.339,26.062,75,20
21.353,26.062,75,20
21.365,26.082,75,20
21.365,26.082,75,20
21.375,26.075,75,20
21.311,26.055,75,20
21.378,26.055,75,20
21.351,26.056,75,20
21.351,26.056,75,20
21.35,26.075,75,20
21.337,26.082,75,20
21.352,26.069,75,20
21.388,26.082,75,20
21.388,26.082,75,20
21.39,26.075,75,20
21.333,26.055,75,20
21.319,26.029,75,20
21.375,26.049,75,20
21.375,26.049,75,20
21.325,26.035,75,20
21.371,26.022,75,20
21.372,26.002,75,20
21.429,26.029,75,20
21.429,26.029,75,20
21.398,25.995,75,20
21.352,25.963,75,20
21.393,25.936,75,20
21.37,25.936,75,20
21.37,25.936,75,20
21.351,25.949,75,20
21.366,25.929,75,20
21.39,25.923,75,20
21.413,25.929,75,20
21.413,25.929,75,20
21.413,25.909,75,20
21.34,25.903,75,20
21.457,25.889,75,20
21.367,25.922,75,20
21.367,25.922,75,20
21.364,25.916,75,20
21.396,25.929,75,20
21.37,25.949,75,20
21.371,25.949,75,20
21.371,25.949,75,20
21.41,25.949,75,20
21.397,25.975,75,20
21.413,26.002,75,20
21.352,25.989,75,20
21.352,25.989,75,20
21.39,26,75,20
21.401,26.016,75,20
21.378,26.009,75,20
21.378,26.009,75,20
21.408,26.016,75,20
21.318,26.056,75,20
21.371,26.029,75,20
21.365,26.029,75,20
21.365,26.029,75,20
21.365,26.049,75,20
21.402,26.035,75,20
21.365,26.049,75,20
21.402,26.042,75,20
21.402,26.042,75,20
21.356,26.095,75,20
21.383,26.035,75,20
21.452,26.049,75,20
21.421,26.075,75,20
21.421,26.075,75,20
21.439,26.089,75,20
21.397,26.055,75,20
21.422,26.096,75,20
21.459,26.075,75,20
21.459,26.075,75,20
21.403,26.069,75,20
21.471,26.102,75,20
21.447,26.095,75,20
21.402,26.082,75,20
21.402,26.082,75,20
21.383,26.095,75,20
21.447,26.102,75,20
21.385,26.075,75,20
21.439,26.102,75,20
21.439,26.102,75,20
21.452,26.082,75,20
21.397,26.069,75,20
21.39,26.062,75,20
21.405,26.102,75,20
21.405,26.102,75,20
21.396,26.089,75,20
21.493,26.075,75,20
21.411,26.075,75,20
21.433,26.049,75,20
21.433,26.049,75,20
21.406,26.042,75,20
21.383,26.035,75,20
21.421,26.049,75,20
