%%% Data to be read on the pyvrft package %%%
%%% First experiment on the pilot plant %%%
%%% Organized as follows %%%
y1,y2,u1,u2
-0.61969,-0.8179,0,0
-0.6142,-0.81782,0,0
-0.6142,-0.81782,0,0
-0.71541,-0.80302,0,0
-0.70932,-0.8116,0,0
-0.6733,-0.78477,0,0
-0.70901,-0.79783,0,0
-0.70901,-0.79783,0,0
-0.63857,-0.78461,0,0
-0.60781,-0.80428,0,0
-0.64482,-0.79099,0,0
-0.65647,-0.79099,0,0
-0.65647,-0.79099,0,0
-0.6995,-0.8179,0,0
-0.66332,-0.81774,0,0
-0.67078,-0.83726,0,0
-0.66561,-0.83726,0,0
-0.66561,-0.83726,0,0
-0.67772,-0.8456,0,0
-0.61146,-0.85757,0,0
-0.6704,-0.8641,0,0
-0.67596,-0.87071,0,0
-0.67596,-0.87071,0,0
-0.68426,-0.8641,0,0
-0.58854,-0.90345,0,0
-0.68921,-0.91077,0,0
-0.66881,-0.92415,0,0
-0.66881,-0.92415,0,0
-0.7017,-0.93761,0,0
-0.70338,-0.9576,0,0
-0.6851,-1.0039,0,0
-0.69211,-0.99041,0,0
-0.69211,-0.99041,0,0
-0.68312,-0.99695,0,0
-0.6755,-0.99695,0,0
-0.79849,-0.99041,0,0
-0.69843,-0.98554,0,0
-0.69843,-0.98554,0,0
-0.75196,-0.99254,0,0
-0.71016,-0.98396,0,0
-0.70376,-0.96421,0,0
-0.74229,-0.95067,0,0
-0.74229,-0.95067,0,0
-0.77808,-0.95248,0,0
-0.67969,-0.96381,0,0
-0.69691,-0.93761,0,0
-0.695,-0.93761,0,0
-0.695,-0.93761,0,0
-0.66447,-0.8907,0,0
-0.73491,-0.90424,0,0
-0.65182,-0.8907,0,0
-0.70178,-0.8774,0,0
-0.70178,-0.8774,0,0
-0.77237,-0.87087,0,0
-0.68434,-0.89094,0,0
-0.67078,-0.86425,0,0
-0.642,-0.84922,0,0
-0.642,-0.84922,0,0
-0.69691,-0.8312,0,0
-0.73947,-0.82404,0,0
-0.70178,-0.83104,0,0
