%%% Data to be read on the pyvrft package %%%
%%% Second experiment on the pilot plant %%%
%%% Organized as follows %%%
y1,y2,u1,u2
-0.33792,-0.53999,0,0
-0.33792,-0.54644,0,0
-0.36731,-0.55329,0,0
-0.36731,-0.55329,0,0
-0.35429,-0.55282,0,0
-0.37447,-0.53983,0,0
-0.33647,-0.54636,0,0
-0.38635,-0.5196,0,0
-0.38635,-0.5196,0,0
-0.31576,-0.53275,0,0
-0.33792,-0.51929,0,0
-0.31987,-0.52653,0,0
-0.2856,-0.51323,0,0
-0.2856,-0.51323,0,0
-0.3367,-0.52102,0,0
-0.34896,-0.52,0,0
-0.31736,-0.52661,0,0
-0.33008,-0.52653,0,0
-0.33008,-0.52653,0,0
-0.35688,-0.5137,0,0
-0.35605,-0.5137,0,0
-0.31667,-0.5137,0,0
-0.32337,-0.50685,0,0
-0.32337,-0.50685,0,0
-0.37874,-0.5137,0,0
-0.33647,-0.51291,0,0
-0.34995,-0.52024,0,0
-0.36731,-0.51323,0,0
-0.36731,-0.51323,0,0
-0.35429,-0.50646,0,0
-0.33838,-0.48002,0,0
-0.30457,-0.50009,0,0
-0.40471,-0.47333,0,0
-0.40471,-0.47333,0,0
-0.33914,-0.50646,0,0
-0.38841,-0.47963,0,0
-0.29634,-0.493,0,0
-0.35475,-0.493,0,0
-0.35475,-0.493,0,0
-0.29299,-0.493,0,0
-0.32589,-0.48002,0,0
-0.32909,-0.47333,0,0
-0.3284,-0.5063,0,0
-0.3284,-0.5063,0,0
-0.31606,-0.48041,0,0
-0.33647,-0.50009,0,0
-0.29269,-0.49946,0,0
-0.30457,-0.49946,0,0
-0.30457,-0.49946,0,0
-0.31127,-0.48663,0,0
-0.27334,-0.5137,0,0
-0.27334,-0.49946,0,0
-0.32337,-0.49961,0,0
-0.32337,-0.49961,0,0
-0.30746,-0.49961,0,0
-0.27631,-0.50009,0,0
-0.2923,-0.51291,0,0
-0.26048,-0.50654,0,0
-0.26048,-0.50654,0,0
-0.26603,-0.49946,0,0
-0.3626,-0.51291,0,0
-0.31469,-0.527,0,0
-0.2345,-0.50599,0,0
-0.2345,-0.50599,0,0
-0.29352,-0.51307,0,0
-0.32421,-0.50017,0,0
-0.27654,-0.493,0,0
-0.29817,-0.53369,0,0
-0.29817,-0.53369,0,0
-0.29269,-0.53275,0,0
-0.34797,-0.51929,0,0
-0.29969,-0.54644,0,0
-0.29627,-0.54644,0,0
-0.29627,-0.54644,0,0
-0.29817,-0.54589,0,0
-0.32421,-0.54589,0,0
-0.30304,-0.5529,0,0
-0.22933,-0.56596,0,0
-0.22933,-0.56596,0,0
-0.34386,-0.55982,0,0
-0.24143,-0.58674,0,0
-0.28728,-0.59288,0,0
-0.21326,-0.56675,0,0
-0.21326,-0.56675,0,0
-0.28659,-0.59933,0,0
-0.27136,-0.62609,0,0
-0.3549,-0.63262,0,0
-0.33099,-0.62625,0,0
-0.33099,-0.62625,0,0
-0.31249,-0.62625,0,0
-0.33564,-0.63247,0,0
-0.33647,-0.65253,0,0
-0.33647,-0.65253,0,0
